Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Signalisation der Blumenfeldstrasse von der Mühlackerstrasse bis zum Emil-Spillmann-Weg als Begegnungszone,Postulat,cc424eeb8ad947acb81825a8a7671dbd,2017-07-05T00:00:00.000,Heidi Egger,SP,Reto Rudolf,CVP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Verzicht auf Rezertifizierungen von freiwilligen Zertifizierungen in der Stadtverwaltung,Postulat,04c7c48746224854a163886000736dc0,2017-07-12T00:00:00.000,Ursula Uttinger,FDP,Marco Denoth,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Elektronisches Personenstandsregister, Verbesserungsmöglichkeiten bei Ablauf und Prozessen, Anlässe für die erstmalige Aufnahme von Personendaten, Anzahl noch nicht registrierte Personen und möglicher Eintrag ohne Zivilstandsereignis",Schriftliche Anfrage,bcb274be14b541e7adc253932f732eb2,2017-07-12T00:00:00.000,Marcel Tobler,SP,,,Abgeschlossen,,
Bau von Veloschnellrouten,Motion,32605d89be784e6c86715a607821b32a,2017-07-12T00:00:00.000,Marco Denoth,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Bau von Veloschnellrouten,Motion,32605d89be784e6c86715a607821b32a,2017-07-12T00:00:00.000,Marco Denoth,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung, SK SID/V (Spezialkommission Sicherheitsdepartement/Verkehr)",Überweisung
"Bewilligungsgesuch des Vereins «E-Mobil Züri» zur Durchführung eines Formel-E-Rennens in der Innenstadt, Einschätzungen zum Durchführungsort, zur Vereinbarkeit mit dem Mobilitätskonzept Stadtverkehr 2025 und den zu erwartenden Kosten sowie Auflagen und Sicherheitsanforderungen für die Bewilligung des Anlasses",Interpellation,b2698f9cde78484ebee4fa2cac45eb83,2017-08-23T00:00:00.000,Anjushka Früh,SP,Pawel Silberring,SP,Abgeschlossen,,
"Stellenwert und Qualitäten der Brunnen im öffentlichen Raum, Planungsinstrumente zur Sicherstellung der künftigen Versorgung sowie geplante Bachöffnungen oder Revitalisierungen weiterer Bachabschnitte",Schriftliche Anfrage,52060ad50abb4584855ae55d900d31bd,2017-08-23T00:00:00.000,Simone Brander,SP,Mathias Egloff,SP,Abgeschlossen,,
"Testfahrten der Post mit autonomen Lieferfahrzeugen im öffentlichen Raum, Zweck und Einsatzgebiete der Fahrzeuge sowie Voraussetzungen und Bedingungen für die Bewilligung der Verkehrsversuche",Schriftliche Anfrage,2612ba1f87fa4cb18ebb1125c3600872,2017-08-23T00:00:00.000,Simone Brander,SP,,,Abgeschlossen,,
"Publikation des neuen Reglements zur Videoüberwachung der Polizeigebäude und Polizeianlagen, Gründe für den Erlass des neuen Reglements und die darin vorgesehenen Änderungen sowie für den gewählten Zeitpunkt der Publikation während den Sommerferien",Interpellation,458b7a632f2e48bdae891a6437fd2e7d,2017-08-23T00:00:00.000,Sven Sobernheim,GLP,Pascal Lamprecht,SP,Abgeschlossen,,
"Ombudsstelle der Stadt, Erweiterung des Handlungsspielraums",Postulat,6a2d751f3a524d51a6b0d974d620423f,2017-08-30T00:00:00.000,Urs Helfenstein,SP,Renate Fischer,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Rahmenkredit zur Stärkung der Partizipation der Quartiere in der Stadtentwicklung,Motion,63a194ccf8754e29a51f44fa8e3f53d5,2017-09-13T00:00:00.000,Christine Seidler,SP,Jean-Daniel Strub,SP,Abgeschlossen,Umwandlung in Postulat,Überweisung
Bau einer attraktiven Veloverbindung auf der Langstrasse zwischen der Zoll- und Militär-/Schöneggstrasse mit getrennter Führung des Fussverkehrs,Motion,b698b0584af94a349a4875555438974f,2017-09-13T00:00:00.000,Marco Denoth,SP,,,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Bau einer attraktiven Veloverbindung auf der Langstrasse zwischen der Zoll- und Militär-/Schöneggstrasse mit getrennter Führung des Fussverkehrs,Motion,b698b0584af94a349a4875555438974f,2017-09-13T00:00:00.000,Marco Denoth,SP,,,Abgeschlossen,"Überweisung, SK SID/V (Spezialkommission Sicherheitsdepartement/Verkehr)",Überweisung
Pilotprojekt für eine vermehrte Berücksichtigung von Menschen mit Behinderungen bei Stellenbewerbungen und einer Belastung der Stellenpläne entsprechend der Leistung,Postulat,9ec1b6610d1b4246811b39f1ddb4d61e,2017-09-27T00:00:00.000,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Errichtung von maximal 10 zusätzlichen Parkplätzen am Salzweg sowie eines zentralen Veloabstellplatzes anstelle der Parkplätze an der Dunkelhölzlistrasse,Postulat,fc88cfe024144730bab99462de34d746,2017-09-27T00:00:00.000,Pascal Lamprecht,SP,Mario Mariani,CVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Gestaltung eines Begegnungsorts bei der Tramremise Wartau,Postulat,336276e55d794c88979fbd33ee589332,2017-10-04T00:00:00.000,Mathias Egloff,SP,Ronny Siev,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Gebietsplanung im Quartier Balgirst/Lengg, Anzahl der durch die Gesundheitsinstitutionen genutzten Wohnungen als Gewerbe- und Büroräumlichkeiten sowie mögliche Wohnraumrückgewinnung nach Auszug des Kinderspitals",Schriftliche Anfrage,79a6a732b9304e6eaf1b3588f3594ad8,2017-10-04T00:00:00.000,Marianne Aubert,SP,Jean-Daniel Strub,SP,Abgeschlossen,,
"Strassenbauprojekt auf dem Teilabschnitt Schaufelbergerstrasse bis Birmensdorferstrasse, Gründe für die Neuauflage des Projekts sowie Auswirkungen auf die Terminplanung und die Kosten",Schriftliche Anfrage,7fb7306932814d2d865867d6dfa03216,2017-10-25T00:00:00.000,Barbara Wiesmann,SP,Markus Knauss,Grüne,Abgeschlossen,,
"Auslösung von Betreibungen durch städtische Ämter und Betriebe, aktuelle Praxis bezüglich dem Versand von Mahnungen und der Löschung von Einträgen aus dem Betreibungsregister sowie Höhe der Einnahme aus den Löschungsbegehren",Schriftliche Anfrage,3e17ef27488347ce8e0e5bbcdcb2068a,2017-10-25T00:00:00.000,Pawel Silberring,SP,Renate Fischer,SP,Abgeschlossen,,
"Internet-basiertes Lernen in der Primar- und Sekundarschule, Zahlen zum Internet-Zugang der Kinder ausserhalb der Unterrichtszeiten sowie mögliche Massnahmen zur Entschärfung allfälliger Ungleichheiten",Schriftliche Anfrage,821e50abfcd24d6885cdd5cf26f7beb3,2017-10-25T00:00:00.000,Mathias Manz,SP,Barbara Wiesmann,SP,Abgeschlossen,,
Aufhebung des Schiessstands Hasenrain in Albisrieden,Postulat,67cd50f9e846401e9986a2203b2ec07a,2017-11-01T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Stellenwert und Nutzen des zeitgenössischen Zirkusschaffens in der Stadt sowie Angaben zu den benötigten Infrastrukturen, den erkennbaren Trends und zu den möglichen Fördermöglichkeiten",Schriftliche Anfrage,4df332400c4d40e38c163e5ea79015a2,2017-11-29T00:00:00.000,Pascal Lamprecht,SP,Vera Ziswiler,SP,Abgeschlossen,,
Neue Nutzung für den bisherigen Schiessstand Hasenrain,Motion,b3b7b404584d4a0b9232f4e9f1a3bd5f,2017-12-06T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,Umwandlung in Postulat,Überweisung
Ersatz der kostenlosen Veloabstellplätze im Umfeld der geplanten Zugänge zum Bahnhof Stadelhofen nach deren Aufhebung auf dem Stadelhofenplatz,Postulat,ff3630dcc8794cc0bf3363a86f954c60,2017-12-20T00:00:00.000,Patrick Hadi Huber,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Gewährleistung der Fahrplanstabilität der Buslinie 31,Postulat,340d79e2d5a449f2bdb79c05d0643ab6,2018-01-10T00:00:00.000,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Jährlicher Kurzbericht zur Sicherheitssituation der Mitarbeitenden des Stadtammann- und Betreibungsamts 11 nach dem Umzug ins Verwaltungsgebäude Eggbühl,Postulat,dda57b11972e434f9bcc754b07aa7bf4,2018-01-17T00:00:00.000,Dorothea Frei,SP,Patrick Albrecht,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Neubau für die Kriminalabteilung am Mühleweg, Umgebungsgestaltung mit einheimischen Baumarten",Postulat,c78bb063a2c741fb8a24feda31588259,2018-01-17T00:00:00.000,Mathias Egloff,SP,Florian Blättler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Zerschlagen von Glasflaschen auf Velowegen durch Mitarbeitende des TED, Gründe für das Vorgehen entgegen der Empfehlung der Herstellerin der CityCats sowie Kriterien für eine Dienstpflichtverletzung des Reinigungspersonals und für die Ansprüche auf Schadenersatz bei einem Platten",Schriftliche Anfrage,f9737b3e69f340e194494b2ae75fe5c1,2018-01-24T00:00:00.000,Florian Utz,SP,,,Abgeschlossen,,
"Kreativwirtschaft in der Stadt, Kennzahlen zur Anzahl der Beschäftigten, zu den Unternehmen und den prekarisierten Arbeitsverhältnissen der Akteure sowie Möglichkeiten zur Förderung dieses Wirtschaftszweigs und zur Verbesserung der Arbeitsbedingungen",Schriftliche Anfrage,07e1d10a923140528ab853f148949375,2018-01-31T00:00:00.000,Vera Ziswiler,SP,Barbara Wiesmann,SP,Abgeschlossen,,
Reorganisation der Schulbehörden als Fundament für eine zukunftsfähige Organisations- und Führungsstruktur der Stadtzürcher Volksschule nach dem Grundsatz einer starken demokratischen Verankerung,Motion,3e31727bb3e34ee8bc0d0fe4c10d0db2,2018-01-31T00:00:00.000,Jean-Daniel Strub,SP,Rosa Maino,AL,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Räumung eines Teils des Vulkan-Areals als Folge des Baubeginns für die ZSC-Arena, Angaben zum Zeitplan, zum Ablauf und zu den Kosten der Räumung sowie mögliche finanzielle und logistische Unterstützungsleistungen der Stadt",Schriftliche Anfrage,e9c880dbf8994dc49b1414143fb13eb8,2018-01-31T00:00:00.000,Pascal Lamprecht,SP,Gabriele Kisker,Grüne,Abgeschlossen,,
Gratistests für sexuell übertragbare Infektionen,Postulat,d92040e3b73242d79851e49173ff677b,2018-02-07T00:00:00.000,Marco Denoth,SP,Patrick Hadi Huber,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Realisierung eines Stadtlabors (Laborquartiers) zur Erprobung zukunftsträchtiger Formen des Zusammenlebens, des Wirtschaftens und des Wohnens",Postulat,682e8f81f94a4c29a017031e9eba004a,2018-02-07T00:00:00.000,Christine Seidler,SP,,,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Einrichtung eines «Zurich Innovation Fellowship Programms» in der Stadtverwaltung,Postulat,f16b7cb32a5e4ebf95fd71d47da0a003,2018-02-07T00:00:00.000,Jean-Daniel Strub,SP,Marcel Bührig,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Konsultatives Stimm- und Wahlrecht für Ausländerinnen und Ausländer, die seit fünf Jahren in der Stadt wohnen, Chancen und Risiken für die Einführung eines solchen Rechts sowie konkrete logistische Umsetzung und Wertung der Resultate",Schriftliche Anfrage,1fd6b8a1d5874faabd1975d0c6106055,2018-02-07T00:00:00.000,Marcel Tobler,SP,Isabel Garcia,FDP,Abgeschlossen,,
"Einschränkung der Öffnungszeiten für den Platzspitz, Anzahl der Lärmbeschwerden und Einsätze der Polizei sowie Entwicklung der Abfallmenge und der Zusatzkosten für die Reinigung",Schriftliche Anfrage,cfeeb97243b4449dac0a450a8fd86c81,2018-02-07T00:00:00.000,Michael Kraft,SP,Sven Sobernheim,GLP,Abgeschlossen,,
"Rodung der Bäume auf dem Lettendamm, Gründe für die Rodung mit Bezug auf die durchgeführte Zustandsanalyse und Vereinbarkeit des Vorgehens mit dem generellen Baumschutz in der Stadt sowie mögliche Entscheidungshilfen und Reglemente für Konfliktfälle zwischen ewz und anderen Fachgebieten betreffend Bau und Unterhalt der Infrastruktur",Schriftliche Anfrage,99832792e0334620a2731f6893fb0ba5,2018-02-07T00:00:00.000,Mathias Egloff,SP,Simone Brander,SP,Abgeschlossen,,
"Verwertung von Bioabfall in der Stadt, Auslastungsgrad des Vergärwerks und Entwicklung der Bioabfall-Abos sowie Möglichkeiten für eine Finanzierung über die Kehrichtgrundgebühr",Schriftliche Anfrage,94cc5e4b6eb346f9af1976f60177e7de,2018-02-28T00:00:00.000,Barbara Wiesmann,SP,Eva Hirsiger,Grüne,Abgeschlossen,,
Bessere Zugänglichkeit der Ausstellungen des Amts für Städtebau zu Gebietsentwicklungen für die Öffentlichkeit,Postulat,ddb460323f434e06b08d4264cc337fc9,2018-03-14T00:00:00.000,Renate Fischer,SP,Pawel Silberring,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Tausch von Titeln der Tamedia AG und der Basler Zeitung, kommerzielle Vorteile der Tagblatt der Stadt Zürich AG durch die Funktion als Städtisches Amtsblatt und Regelung der damit verbundenen Titelrechte sowie Möglichkeiten für die Gewährleistung einer sachlichen und ausgewogenen Berichterstattung",Schriftliche Anfrage,0c5311c3ae2a4e13a3177c729b0c4a05,2018-03-14T00:00:00.000,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Abgeschlossen,,
Rahmenkredit für Massnahmen zum Schutz der Bevölkerung vor den Auswirkungen des Strassenlärms,Motion,1dcb2d04a7b749d0a1d6c51a3feb4d41,2018-03-21T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,InBearbeitung,Umwandlung in Postulat,Überweisung
"Mögliche Interessenskonflikte zwischen Tochtergesellschaften und Dienstabteilungen der Stadt, Vereinbarkeit der Entsendung von Mitgliedern des Stadtrats und städtischen Angestellten in Verwaltungsräte städtischer Gesellschaften mit der Public Corporate Governance der Stadt und Möglichkeiten zur Sicherstellung der städtischen Interessen",Schriftliche Anfrage,91c984bcef324bdd898c40edde30d5c6,2018-03-28T00:00:00.000,Helen Glaser,SP,Markus Kunz,Grüne,Abgeschlossen,,
"Revitalisierung der Fliessgewässer in der Stadt, gesetzliche Grundlage, Umsetzungsplan, vorhandene Ressourcen und mögliche Engpässe sowie Finanzierungsplan und Aufteilung der Kosten",Schriftliche Anfrage,9a00cc4ab1434a78acc13b21f3b24a05,2018-03-28T00:00:00.000,Helen Glaser,SP,Markus Kunz,Grüne,Abgeschlossen,,
Ersatz der Kehrichtabfuhrlastwagen durch Elektrofahrzeuge,Postulat,9099c94f0f324894be49436c6779fb3d,2018-04-04T00:00:00.000,Marcel Savarioud,SP,Dorothea Frei,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Anschluss von möglichst vielen Gebäuden in den künftigen Fernwärmegebieten,Postulat,eceaac3c13604e6287a9ece42d09816f,2018-04-04T00:00:00.000,Markus Kunz,Grüne,Helen Glaser,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Abdeckung der Spitzenlast der Fernwärmeversorgung ohne fossile Energieträger,Postulat,918b15b0842d4cd7b283cb587abbbc8a,2018-04-04T00:00:00.000,Markus Kunz,Grüne,Helen Glaser,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Behandlung der Einsprachen im Zusammenhang mit den kreisweisen Lärmsanierungsprojekten, Gründe für die lange Behandlungsdauer der Einsprachen und Möglichkeiten für eine organisatorische Verbesserung sowie Massnahmen zur Kompensation des möglichen Wegfalls der finanziellen Unterstützung durch den Bund",Schriftliche Anfrage,6041ddeaf03d4b77aa5cbc351760cccd,2018-04-11T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,,
Gewährleistung der Einhaltung von Art. 1 des Redaktionsstatuts des Tagblatts der Stadt Zürich betreffend der inhaltlichen Ausrichtung der Wochenzeitung,Postulat,061133b37f2548ada4302053fd466dc7,2018-04-18T00:00:00.000,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Bereitstellung einer Ersatzliegenschaft für das Projekt «Dosendealer/Verein Farben für Zürich»,Postulat,a327d0c329fd4e45a1d256feb7bb06a4,2018-04-18T00:00:00.000,Elena Marti,Grüne,Anjushka Früh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Lärmsanierung an der Klosbachstrasse, Beurteilung der Betriebsabwicklung des Tramverkehrs am Bellevue und der Umlaufzeiten der Tramlinie 8 als Voraussetzung für eine Lärmsanierung an der Quelle",Schriftliche Anfrage,71ceff874c83433cb1cd8c3a15088ea0,2018-05-16T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,,
"Kontrollen der Stadtpolizei an der Seepromenade betreffend Übertretungen gegen die Vorschriften zur Nutzung des öffentlichen Raums, Art der festgestellten Verfehlungen und Anzahl der rapportierten Übertretungen sowie Kriterien für die Festlegung der erlaubten und nichterlaubten Nutzungen",Schriftliche Anfrage,64cb0ae625594c5a8b1578a69042dea3,2018-06-06T00:00:00.000,Felix Stocker,SP,Anjushka Früh,SP,Abgeschlossen,,
"Qualität in den Kindertagesstätten, Umfang der Kontrollen durch die Krippenaufsicht und dabei geprüfte Qualitätsanforderungen sowie mögliche Sanktionsmöglichkeiten bei festgestellten Mängeln",Schriftliche Anfrage,310155b9d87145a6b363d399b0bdefed,2018-06-13T00:00:00.000,Anjushka Früh,SP,Katharina Prelicz-Huber,Grüne,Abgeschlossen,,
"Formel-E-Rennen in der Innenstadt, Einschätzung der Eignung des Durchführungsorts und Voraussetzungen für eine erneute Bewilligung des Rennens sowie künftige Mitsprache der Anwohnerinnen und Anwohnern und des Gemeinderats",Interpellation,444964891470431ea58fdcc7dd611b86,2018-06-13T00:00:00.000,Anjushka Früh,SP,Luca Maggi,Grüne,Abgeschlossen,,
Finanzierung der Entsorgung von Grünabfall über den Infrastrukturpreis zur Abfallbewirtschaftung,Motion,4e4d4025cbf246a2914130e0f2f8613a,2018-06-20T00:00:00.000,Barbara Wiesmann,SP,Anjushka Früh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Entsorgung von Grünabfall mittels Grüncontainer, Situation für die Mieterinnen und Mieter der städtischen Liegenschaften sowie mögliche Massnahmen zur vermehrten Bereitstellung von Grüncontainern",Schriftliche Anfrage,d31bace40b8444dd9837388d0fbf2911,2018-06-20T00:00:00.000,Simone Brander,SP,,,Abgeschlossen,,
"Sportanlagen für den Fussball, Planungszahlen für die Bereitstellung von Fussballplätzen in der Stadt und Resultate zu den Studien betreffend der Evaluierung neuer Standorte sowie mögliches Potenzial zur besseren Nutzung der bestehenden Sportanlagen und der Aussenanlagen bei Schulhäusern",Interpellation,b2f8f0d2180f4cbe83992d6875077529,2018-06-20T00:00:00.000,Urs Egger,FDP,Anjushka Früh,SP,Abgeschlossen,,
Rahmenkredit zur Stärkung der Partizipation der Quartiere in der Stadtentwicklung,Postulat,97ea075a68db406cac67ec5db942829c,2018-07-04T00:00:00.000,Christine Seidler,SP,Jean-Daniel Strub,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Durchgängige Veloroute zwischen Triemli und Hauptbahnhof, Schliessung der Lücke zum Bahnhof Giesshübel sowie Weiterführung am westlichen Sihlufer",Motion,990cb3c193ba4784ba35eefa7665c8ec,2018-07-11T00:00:00.000,Barbara Wiesmann,SP,Res Marti,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Generationenübergreifende Betreuungsinstitution für Kinder und ältere Menschen im Neubau der Wohnsiedlung Eichrain,Postulat,42865df387844f078cb58c9017213bdb,2018-07-11T00:00:00.000,Corina Gredig,GLP,Marion Schmid,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Beurteilung von getroffenen Begrünungs-Massnahmen zur Verbesserung des Stadtklimas sowie mögliche Projekte im Bereich von hellen Strassenbelägen und Renaturierungen oder zur Verbesserung der Stadtbelüftung,Schriftliche Anfrage,27f3d9de01a440a1a31ab666e9e9c07c,2018-08-22T00:00:00.000,Matthias Renggli,SP,,,Abgeschlossen,,
Aktualisierung der Altersstrategie unter Einbezug aller möglichen Leistungserbringenden,Postulat,c00ffe579d9a479c94ce24e9804d12a4,2018-08-22T00:00:00.000,Marcel Savarioud,SP,Dorothea Frei,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Bereitstellung von mehr Wasserfläche für Freizeit und Sport im Winterhalbjahr,Postulat,a881020d312f4818a871731eb2d8f710,2018-08-29T00:00:00.000,Marianne Aubert,SP,Marco Denoth,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Angebot einer qualitativ hochwertigen Prüfungsvorbereitung für die Kantons- und Berufsmaturitätsschulen an allen Schulen der Stadt,Postulat,a08ba6f236af4c63a41d423f1d54f84e,2018-08-29T00:00:00.000,Urs Helfenstein,SP,Marco Denoth,SP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Anbringung von geschwindigkeitshemmenden Elementen auf dem Fischerweg zur Verbesserung der Sicherheit aller Verkehrsteilnehmenden,Postulat,3a83eef81871445480ccaebfb5c51d23,2018-08-29T00:00:00.000,Stefan Urech,SVP,Urs Helfenstein,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Neue Nutzung für den bisherigen Schiessstand Hasenrain,Postulat,934a9b581be9462a9aedb66872791cb2,2018-09-05T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Sicherstellung einer Wahlmöglichkeit betreffend mindestens einer warmen vegetarischen Mahlzeit in städtischen Kantinen und Restaurants,Postulat,ec0f0afa43f742a1a3ef9a19ce07a5d7,2018-09-19T00:00:00.000,Matthias Probst,Grüne,Florian Utz,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Reduzierung der Autoabstellplätze in der Blauen Zone der Grubenackerstrasse nach Aufhebung der Kleingärten an der Thurgauerstrasse,Postulat,6d5c1e70925c4f57b985adf1856f114a,2018-09-19T00:00:00.000,Florian Blättler,SP,Heidi Egger,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Sicherstellung der Zufahrt zur Grubenackerstrasse im Rahmen der Überbauung Thurgauerstrasse,Postulat,54011f8a2a76424d90b01c7cd7a169ae,2018-09-19T00:00:00.000,Florian Blättler,SP,Heidi Egger,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Zeitnahe Publikation der von der Sozialbehörde erlassenen Richtlinien und Kriterien sowie der Handlungsanweisungen der Direktion der Sozialen Dienste,Postulat,ded7c75835324deab96d3f3805f1f209,2018-09-26T00:00:00.000,Ezgi Akyol,AL,Anjushka Früh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Verkauf der Liegenschaften der Förderstiftung Musikschule Konservatorium (MKZ), Grundlagen für den Verkauf durch die Förderstiftung und Eignung der Liegenschaften für das Portfolio der Stadt sowie Möglichkeiten für ein Vorkaufsrecht der Stadt für Verkäufe vergleichbarer Stiftungen oder öffentlich-rechtlicher Anstalten",Schriftliche Anfrage,8fd8bc6a91964a648fafacde1185756d,2018-09-26T00:00:00.000,Maya Kägi Götz,SP,,,Abgeschlossen,,
Schaffung einer Fachstelle für Altersfragen,Postulat,5e727d406a8d4940b014392c2bdcb997,2018-10-03T00:00:00.000,Monika Bätschmann,Grüne,Marion Schmid,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Mangel an Proberäumen für Musikerinnen und Musiker, Auflistung der bestehenden bekannten Räume, der Zulassungsbeschränkungen, Auflagen und Lärmklagen sowie Möglichkeiten für die Erweiterung und Bereitstellung von Proberäumen",Schriftliche Anfrage,86ae4b2490244755baae0dddaf726967,2018-10-03T00:00:00.000,Pascal Lamprecht,SP,,,Abgeschlossen,,
Prüfung alternativer Standorte für die Veranstaltungen auf der Gemüsebrücke während der Brückensanierung,Postulat,cf63b4d0b978403fa58b2e8d6649cf27,2018-10-24T00:00:00.000,Renate Fischer,SP,Felix Stocker,SP,Abgeschlossen,Rückzug,Rückzug
Verhinderung der Realisierung eines allfälligen Seerestaurants am Seeufer beim Bürkliplatz in alleiniger kantonaler Kompetenz,Postulat,84f58d8d66e444939be67d76f932e140,2018-10-24T00:00:00.000,Pawel Silberring,SP,Renate Fischer,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Abbau von bestehenden Parkplatz-Überhängen, Beurteilung der Wirkung des Leitfadens aus dem Jahr 2015 und Angaben zur Erhebung der Plätze in den privaten Parkhäusern sowie Möglichkeiten zur attraktiveren Gestaltung von Parkhäusern und zur Einführung eines App-basierten Parkleitsystems",Schriftliche Anfrage,ab99ce0044994540a09f053bd8247421,2018-10-24T00:00:00.000,Barbara Wiesmann,SP,Pascal Lamprecht,SP,Abgeschlossen,,
Vollbeflaggung der Stadt während dem Zurich Pride Festival,Postulat,17542a2943fd45fc80d9589208c214a1,2018-10-31T00:00:00.000,Alan David Sangines,SP,Vera Ziswiler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Anpassung bestimmter Strassenverkehrssignalisationen auf das Jubiläumsjahr 2019 des Zurich Pride Festivals,Postulat,8642212965f94c1a95a2faebaf0538db,2018-10-31T00:00:00.000,Alan David Sangines,SP,Simone Brander,SP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Integration der Vernehmlassungsstellen im Baubewilligungsverfahren ins Amt für Baubewilligung,Postulat,72fd6acb21db48ae80748ac2408994a2,2018-11-07T00:00:00.000,Marco Denoth,SP,Albert Leiser,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Digitalisierung der Baubewilligungsverfahren samt Auflagenbereinigung,Postulat,42505a1ae03b44a5bdc807eab99beacb,2018-11-07T00:00:00.000,Andri Silberschmidt,FDP,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Anreicherung des Willkommenspakets der Stadt mit Informationen und Gutscheinen für Kultur-, Sport- und weitere Angebote",Postulat,40d8e57f16764a7ca7f29da16f784f19,2018-11-07T00:00:00.000,Urs Helfenstein,SP,Matthias Wiesmann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Ergänzung der IT-Strategie der Stadt 2020–2024 mit der Stossrichtung 7 «Civic Tech»,Postulat,29d92fb6b5614d4c9944db3a81eefed1,2018-11-07T00:00:00.000,Corina Gredig,GLP,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Geeignete Würdigung des Landesstreik-Jubiläums,Postulat,59d30c49399745889b281f7a7fb9f4a7,2018-11-07T00:00:00.000,Vera Ziswiler,SP,Michael Kraft,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Urteil des Bundesgerichts betreffend das Parkieren von Motorrädern auf dem Trottoir, Beurteilung des Handlungsbedarfs der Stadtpolizei in Bezug auf die aktuelle Bussenpraxis",Schriftliche Anfrage,f0868da458114fd9bea047a8ef871e5b,2018-11-14T00:00:00.000,Simone Brander,SP,Simon Kälin-Werth,Grüne,Abgeschlossen,,
